study,parameter,value,value_label,experiment_name,repeat,seed,metric_name,best_epoch,best_train_metric,best_val_metric,best_test_metric,best_train_loss,best_val_loss,best_test_loss,search_best_test_metric,search_best_val_loss,time_window,config_json
sensitivity,time_window,3.0,3,time_window=3,1,43,ndcg,124,,0.9973580994332032,0.9973580994332032,,1.8211063146591187,1.8211065530776978,0.9973580994332032,1.8211065530776978,3,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 2, ""d"": 4, ""deg_normalised"": false, ""dropout"": 0.0, ""early_stopping_patience"": 24, ""edge_weights"": false, ""epochs"": 200, ""eval_every"": 2, ""hidden_channels"": 64, ""input_dropout"": 0.0, ""layers"": 3, ""left_weights"": true, ""linear"": false, ""lr"": 0.012487940706903825, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 30, ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 8, ""temporal_d_model"": 32, ""time_window"": 3, ""use_act"": true, ""weight_decay"": 1.98417640446958e-07}"
sensitivity,time_window,3.0,3,time_window=3,2,44,ndcg,154,,0.9981702664095413,0.9981702664095413,,1.8062161207199097,1.8062161207199097,0.9981702664095413,1.8062161207199097,3,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 2, ""d"": 4, ""deg_normalised"": false, ""dropout"": 0.0, ""early_stopping_patience"": 24, ""edge_weights"": false, ""epochs"": 200, ""eval_every"": 2, ""hidden_channels"": 64, ""input_dropout"": 0.0, ""layers"": 3, ""left_weights"": true, ""linear"": false, ""lr"": 0.012487940706903825, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 30, ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 8, ""temporal_d_model"": 32, ""time_window"": 3, ""use_act"": true, ""weight_decay"": 1.98417640446958e-07}"
sensitivity,time_window,3.0,3,time_window=3,3,45,ndcg,142,,0.9949878873281242,0.9949878873281242,,1.830701231956482,1.8307013511657715,0.9949878873281242,1.830701231956482,3,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 2, ""d"": 4, ""deg_normalised"": false, ""dropout"": 0.0, ""early_stopping_patience"": 24, ""edge_weights"": false, ""epochs"": 200, ""eval_every"": 2, ""hidden_channels"": 64, ""input_dropout"": 0.0, ""layers"": 3, ""left_weights"": true, ""linear"": false, ""lr"": 0.012487940706903825, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 30, ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 8, ""temporal_d_model"": 32, ""time_window"": 3, ""use_act"": true, ""weight_decay"": 1.98417640446958e-07}"
sensitivity,time_window,3.0,3,time_window=3,4,46,ndcg,118,,0.9983559946409398,0.9983559946409398,,1.8120801448822021,1.8120801448822021,0.9983559946409398,1.8120801448822021,3,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 2, ""d"": 4, ""deg_normalised"": false, ""dropout"": 0.0, ""early_stopping_patience"": 24, ""edge_weights"": false, ""epochs"": 200, ""eval_every"": 2, ""hidden_channels"": 64, ""input_dropout"": 0.0, ""layers"": 3, ""left_weights"": true, ""linear"": false, ""lr"": 0.012487940706903825, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 30, ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 8, ""temporal_d_model"": 32, ""time_window"": 3, ""use_act"": true, ""weight_decay"": 1.98417640446958e-07}"
sensitivity,time_window,3.0,3,time_window=3,5,47,ndcg,110,,0.9987151229311777,0.9987151229311777,,1.8117433786392212,1.8117432594299316,0.9987151229311777,1.8117433786392212,3,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 2, ""d"": 4, ""deg_normalised"": false, ""dropout"": 0.0, ""early_stopping_patience"": 24, ""edge_weights"": false, ""epochs"": 200, ""eval_every"": 2, ""hidden_channels"": 64, ""input_dropout"": 0.0, ""layers"": 3, ""left_weights"": true, ""linear"": false, ""lr"": 0.012487940706903825, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 30, ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 8, ""temporal_d_model"": 32, ""time_window"": 3, ""use_act"": true, ""weight_decay"": 1.98417640446958e-07}"
sensitivity,time_window,1.0,1,time_window=1,1,43,ndcg,128,,0.8013516496446464,0.8603414184885072,,2.6776864528656006,2.4663734436035156,0.8519275913029499,2.5501956939697266,1,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 2, ""d"": 4, ""deg_normalised"": false, ""dropout"": 0.0, ""early_stopping_patience"": 24, ""edge_weights"": false, ""epochs"": 200, ""eval_every"": 2, ""hidden_channels"": 64, ""input_dropout"": 0.0, ""layers"": 3, ""left_weights"": true, ""linear"": false, ""lr"": 0.012487940706903825, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 30, ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 8, ""temporal_d_model"": 32, ""time_window"": 1, ""use_act"": true, ""weight_decay"": 1.98417640446958e-07}"
sensitivity,time_window,1.0,1,time_window=1,2,44,ndcg,46,,0.5732583095982732,0.5768732275179053,,3.326659679412842,3.2934508323669434,0.5775466909853522,3.3055636882781982,1,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 2, ""d"": 4, ""deg_normalised"": false, ""dropout"": 0.0, ""early_stopping_patience"": 24, ""edge_weights"": false, ""epochs"": 200, ""eval_every"": 2, ""hidden_channels"": 64, ""input_dropout"": 0.0, ""layers"": 3, ""left_weights"": true, ""linear"": false, ""lr"": 0.012487940706903825, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 30, ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 8, ""temporal_d_model"": 32, ""time_window"": 1, ""use_act"": true, ""weight_decay"": 1.98417640446958e-07}"
sensitivity,time_window,1.0,1,time_window=1,3,45,ndcg,156,,0.7335532805294774,0.8444844392976774,,3.049633264541626,2.545905113220215,0.8376216415257306,2.764195203781128,1,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 2, ""d"": 4, ""deg_normalised"": false, ""dropout"": 0.0, ""early_stopping_patience"": 24, ""edge_weights"": false, ""epochs"": 200, ""eval_every"": 2, ""hidden_channels"": 64, ""input_dropout"": 0.0, ""layers"": 3, ""left_weights"": true, ""linear"": false, ""lr"": 0.012487940706903825, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 30, ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 8, ""temporal_d_model"": 32, ""time_window"": 1, ""use_act"": true, ""weight_decay"": 1.98417640446958e-07}"
sensitivity,time_window,1.0,1,time_window=1,4,46,ndcg,200,,0.8832492503485443,0.9153697916574017,,2.375603199005127,2.1712911128997803,0.9070390462137341,2.334203004837036,1,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 2, ""d"": 4, ""deg_normalised"": false, ""dropout"": 0.0, ""early_stopping_patience"": 24, ""edge_weights"": false, ""epochs"": 200, ""eval_every"": 2, ""hidden_channels"": 64, ""input_dropout"": 0.0, ""layers"": 3, ""left_weights"": true, ""linear"": false, ""lr"": 0.012487940706903825, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 30, ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 8, ""temporal_d_model"": 32, ""time_window"": 1, ""use_act"": true, ""weight_decay"": 1.98417640446958e-07}"
sensitivity,time_window,1.0,1,time_window=1,5,47,ndcg,188,,0.584729144069354,0.7272463484031431,,3.713531970977783,2.9120121002197266,0.69042842407122,3.316370964050293,1,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 2, ""d"": 4, ""deg_normalised"": false, ""dropout"": 0.0, ""early_stopping_patience"": 24, ""edge_weights"": false, ""epochs"": 200, ""eval_every"": 2, ""hidden_channels"": 64, ""input_dropout"": 0.0, ""layers"": 3, ""left_weights"": true, ""linear"": false, ""lr"": 0.012487940706903825, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 30, ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 8, ""temporal_d_model"": 32, ""time_window"": 1, ""use_act"": true, ""weight_decay"": 1.98417640446958e-07}"
sensitivity,time_window,5.0,5,time_window=5,1,43,ndcg,132,,0.9980240234782135,0.9980240234782135,,1.8170337677001953,1.8170337677001953,0.9980240234782135,1.8170337677001953,5,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 2, ""d"": 4, ""deg_normalised"": false, ""dropout"": 0.0, ""early_stopping_patience"": 24, ""edge_weights"": false, ""epochs"": 200, ""eval_every"": 2, ""hidden_channels"": 64, ""input_dropout"": 0.0, ""layers"": 3, ""left_weights"": true, ""linear"": false, ""lr"": 0.012487940706903825, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 30, ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 8, ""temporal_d_model"": 32, ""time_window"": 5, ""use_act"": true, ""weight_decay"": 1.98417640446958e-07}"
sensitivity,time_window,5.0,5,time_window=5,2,44,ndcg,124,,0.9982755817797333,0.9982755817797333,,1.8125265836715698,1.8125265836715698,0.9982755817797333,1.8125263452529907,5,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 2, ""d"": 4, ""deg_normalised"": false, ""dropout"": 0.0, ""early_stopping_patience"": 24, ""edge_weights"": false, ""epochs"": 200, ""eval_every"": 2, ""hidden_channels"": 64, ""input_dropout"": 0.0, ""layers"": 3, ""left_weights"": true, ""linear"": false, ""lr"": 0.012487940706903825, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 30, ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 8, ""temporal_d_model"": 32, ""time_window"": 5, ""use_act"": true, ""weight_decay"": 1.98417640446958e-07}"
sensitivity,time_window,5.0,5,time_window=5,3,45,ndcg,158,,0.9972060923338715,0.9972060923338715,,1.820265531539917,1.8202656507492065,0.9972060923338715,1.820265531539917,5,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 2, ""d"": 4, ""deg_normalised"": false, ""dropout"": 0.0, ""early_stopping_patience"": 24, ""edge_weights"": false, ""epochs"": 200, ""eval_every"": 2, ""hidden_channels"": 64, ""input_dropout"": 0.0, ""layers"": 3, ""left_weights"": true, ""linear"": false, ""lr"": 0.012487940706903825, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 30, ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 8, ""temporal_d_model"": 32, ""time_window"": 5, ""use_act"": true, ""weight_decay"": 1.98417640446958e-07}"
sensitivity,time_window,5.0,5,time_window=5,4,46,ndcg,114,,0.9980961633143023,0.9980961633143023,,1.8144272565841675,1.8144272565841675,0.9980961633143023,1.8144272565841675,5,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 2, ""d"": 4, ""deg_normalised"": false, ""dropout"": 0.0, ""early_stopping_patience"": 24, ""edge_weights"": false, ""epochs"": 200, ""eval_every"": 2, ""hidden_channels"": 64, ""input_dropout"": 0.0, ""layers"": 3, ""left_weights"": true, ""linear"": false, ""lr"": 0.012487940706903825, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 30, ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 8, ""temporal_d_model"": 32, ""time_window"": 5, ""use_act"": true, ""weight_decay"": 1.98417640446958e-07}"
sensitivity,time_window,5.0,5,time_window=5,5,47,ndcg,158,,0.9986436432568248,0.9986436432568248,,1.8021751642227173,1.8021752834320068,0.9986436432568248,1.8021751642227173,5,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 2, ""d"": 4, ""deg_normalised"": false, ""dropout"": 0.0, ""early_stopping_patience"": 24, ""edge_weights"": false, ""epochs"": 200, ""eval_every"": 2, ""hidden_channels"": 64, ""input_dropout"": 0.0, ""layers"": 3, ""left_weights"": true, ""linear"": false, ""lr"": 0.012487940706903825, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 30, ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 8, ""temporal_d_model"": 32, ""time_window"": 5, ""use_act"": true, ""weight_decay"": 1.98417640446958e-07}"
sensitivity,lr,0.012487940706903825,0.012487940706903825,lr=0.012487940706903825,1,43,ndcg,118,,0.9972980891784406,0.9972980891784406,,1.823547124862671,1.823547124862671,0.9972980891784406,1.823547124862671,3,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 2, ""d"": 4, ""deg_normalised"": false, ""dropout"": 0.0, ""early_stopping_patience"": 24, ""edge_weights"": false, ""epochs"": 200, ""eval_every"": 2, ""hidden_channels"": 64, ""input_dropout"": 0.0, ""layers"": 3, ""left_weights"": true, ""linear"": false, ""lr"": 0.012487940706903825, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 30, ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 8, ""temporal_d_model"": 32, ""time_window"": 3, ""use_act"": true, ""weight_decay"": 1.98417640446958e-07}"
sensitivity,lr,0.012487940706903825,0.012487940706903825,lr=0.012487940706903825,2,44,ndcg,150,,0.998555591596543,0.998555591596543,,1.8072212934494019,1.8072212934494019,0.998555591596543,1.8072212934494019,3,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 2, ""d"": 4, ""deg_normalised"": false, ""dropout"": 0.0, ""early_stopping_patience"": 24, ""edge_weights"": false, ""epochs"": 200, ""eval_every"": 2, ""hidden_channels"": 64, ""input_dropout"": 0.0, ""layers"": 3, ""left_weights"": true, ""linear"": false, ""lr"": 0.012487940706903825, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 30, ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 8, ""temporal_d_model"": 32, ""time_window"": 3, ""use_act"": true, ""weight_decay"": 1.98417640446958e-07}"
sensitivity,lr,0.012487940706903825,0.012487940706903825,lr=0.012487940706903825,3,45,ndcg,142,,0.9960185782125252,0.9960185782125252,,1.8303402662277222,1.8303402662277222,0.9960185782125252,1.8303402662277222,3,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 2, ""d"": 4, ""deg_normalised"": false, ""dropout"": 0.0, ""early_stopping_patience"": 24, ""edge_weights"": false, ""epochs"": 200, ""eval_every"": 2, ""hidden_channels"": 64, ""input_dropout"": 0.0, ""layers"": 3, ""left_weights"": true, ""linear"": false, ""lr"": 0.012487940706903825, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 30, ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 8, ""temporal_d_model"": 32, ""time_window"": 3, ""use_act"": true, ""weight_decay"": 1.98417640446958e-07}"
sensitivity,lr,0.012487940706903825,0.012487940706903825,lr=0.012487940706903825,4,46,ndcg,118,,0.9983781026583871,0.9983781026583871,,1.811676263809204,1.811676263809204,0.9983781026583871,1.811676263809204,3,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 2, ""d"": 4, ""deg_normalised"": false, ""dropout"": 0.0, ""early_stopping_patience"": 24, ""edge_weights"": false, ""epochs"": 200, ""eval_every"": 2, ""hidden_channels"": 64, ""input_dropout"": 0.0, ""layers"": 3, ""left_weights"": true, ""linear"": false, ""lr"": 0.012487940706903825, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 30, ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 8, ""temporal_d_model"": 32, ""time_window"": 3, ""use_act"": true, ""weight_decay"": 1.98417640446958e-07}"
sensitivity,lr,0.012487940706903825,0.012487940706903825,lr=0.012487940706903825,5,47,ndcg,94,,0.997872668125145,0.997872668125145,,1.820247769355774,1.820247769355774,0.997872668125145,1.820247769355774,3,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 2, ""d"": 4, ""deg_normalised"": false, ""dropout"": 0.0, ""early_stopping_patience"": 24, ""edge_weights"": false, ""epochs"": 200, ""eval_every"": 2, ""hidden_channels"": 64, ""input_dropout"": 0.0, ""layers"": 3, ""left_weights"": true, ""linear"": false, ""lr"": 0.012487940706903825, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 30, ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 8, ""temporal_d_model"": 32, ""time_window"": 3, ""use_act"": true, ""weight_decay"": 1.98417640446958e-07}"
sensitivity,lr,0.006243970353451912,0.006243970353451912,lr=0.006243970353451912,1,43,ndcg,158,,0.999513817496035,0.999513817496035,,1.8010495901107788,1.8010495901107788,0.999513817496035,1.8010495901107788,3,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 2, ""d"": 4, ""deg_normalised"": false, ""dropout"": 0.0, ""early_stopping_patience"": 24, ""edge_weights"": false, ""epochs"": 200, ""eval_every"": 2, ""hidden_channels"": 64, ""input_dropout"": 0.0, ""layers"": 3, ""left_weights"": true, ""linear"": false, ""lr"": 0.006243970353451912, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 30, ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 8, ""temporal_d_model"": 32, ""time_window"": 3, ""use_act"": true, ""weight_decay"": 1.98417640446958e-07}"
sensitivity,lr,0.006243970353451912,0.006243970353451912,lr=0.006243970353451912,2,44,ndcg,140,,0.9990839622507396,0.9990839622507396,,1.8078703880310059,1.8078703880310059,0.9990839622507396,1.8078703880310059,3,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 2, ""d"": 4, ""deg_normalised"": false, ""dropout"": 0.0, ""early_stopping_patience"": 24, ""edge_weights"": false, ""epochs"": 200, ""eval_every"": 2, ""hidden_channels"": 64, ""input_dropout"": 0.0, ""layers"": 3, ""left_weights"": true, ""linear"": false, ""lr"": 0.006243970353451912, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 30, ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 8, ""temporal_d_model"": 32, ""time_window"": 3, ""use_act"": true, ""weight_decay"": 1.98417640446958e-07}"
sensitivity,lr,0.006243970353451912,0.006243970353451912,lr=0.006243970353451912,3,45,ndcg,200,,0.9986077413919313,0.9986077413919313,,1.8039495944976807,1.8039495944976807,0.9986077413919313,1.8039495944976807,3,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 2, ""d"": 4, ""deg_normalised"": false, ""dropout"": 0.0, ""early_stopping_patience"": 24, ""edge_weights"": false, ""epochs"": 200, ""eval_every"": 2, ""hidden_channels"": 64, ""input_dropout"": 0.0, ""layers"": 3, ""left_weights"": true, ""linear"": false, ""lr"": 0.006243970353451912, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 30, ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 8, ""temporal_d_model"": 32, ""time_window"": 3, ""use_act"": true, ""weight_decay"": 1.98417640446958e-07}"
sensitivity,lr,0.006243970353451912,0.006243970353451912,lr=0.006243970353451912,4,46,ndcg,142,,0.9986926802557221,0.9986926802557221,,1.8104016780853271,1.8104017972946167,0.9986926802557221,1.8104016780853271,3,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 2, ""d"": 4, ""deg_normalised"": false, ""dropout"": 0.0, ""early_stopping_patience"": 24, ""edge_weights"": false, ""epochs"": 200, ""eval_every"": 2, ""hidden_channels"": 64, ""input_dropout"": 0.0, ""layers"": 3, ""left_weights"": true, ""linear"": false, ""lr"": 0.006243970353451912, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 30, ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 8, ""temporal_d_model"": 32, ""time_window"": 3, ""use_act"": true, ""weight_decay"": 1.98417640446958e-07}"
sensitivity,lr,0.006243970353451912,0.006243970353451912,lr=0.006243970353451912,5,47,ndcg,150,,0.9992155113376694,0.9992155113376694,,1.8036271333694458,1.8036271333694458,0.9992155113376694,1.8036271333694458,3,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 2, ""d"": 4, ""deg_normalised"": false, ""dropout"": 0.0, ""early_stopping_patience"": 24, ""edge_weights"": false, ""epochs"": 200, ""eval_every"": 2, ""hidden_channels"": 64, ""input_dropout"": 0.0, ""layers"": 3, ""left_weights"": true, ""linear"": false, ""lr"": 0.006243970353451912, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 30, ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 8, ""temporal_d_model"": 32, ""time_window"": 3, ""use_act"": true, ""weight_decay"": 1.98417640446958e-07}"
sensitivity,lr,0.018731911060355738,0.018731911060355738,lr=0.018731911060355738,1,43,ndcg,126,,0.9878652123434454,0.9878652123434454,,1.8731069564819336,1.8731070756912231,0.9878652123434454,1.8731070756912231,3,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 2, ""d"": 4, ""deg_normalised"": false, ""dropout"": 0.0, ""early_stopping_patience"": 24, ""edge_weights"": false, ""epochs"": 200, ""eval_every"": 2, ""hidden_channels"": 64, ""input_dropout"": 0.0, ""layers"": 3, ""left_weights"": true, ""linear"": false, ""lr"": 0.018731911060355738, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 30, ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 8, ""temporal_d_model"": 32, ""time_window"": 3, ""use_act"": true, ""weight_decay"": 1.98417640446958e-07}"
sensitivity,lr,0.018731911060355738,0.018731911060355738,lr=0.018731911060355738,2,44,ndcg,146,,0.9966771190283501,0.9966771190283501,,1.8247333765029907,1.8247333765029907,0.9966771190283501,1.8247333765029907,3,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 2, ""d"": 4, ""deg_normalised"": false, ""dropout"": 0.0, ""early_stopping_patience"": 24, ""edge_weights"": false, ""epochs"": 200, ""eval_every"": 2, ""hidden_channels"": 64, ""input_dropout"": 0.0, ""layers"": 3, ""left_weights"": true, ""linear"": false, ""lr"": 0.018731911060355738, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 30, ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 8, ""temporal_d_model"": 32, ""time_window"": 3, ""use_act"": true, ""weight_decay"": 1.98417640446958e-07}"
sensitivity,lr,0.018731911060355738,0.018731911060355738,lr=0.018731911060355738,3,45,ndcg,198,,0.9945298447610819,0.9945298447610819,,1.8362617492675781,1.8362617492675781,0.9945298447610819,1.8362617492675781,3,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 2, ""d"": 4, ""deg_normalised"": false, ""dropout"": 0.0, ""early_stopping_patience"": 24, ""edge_weights"": false, ""epochs"": 200, ""eval_every"": 2, ""hidden_channels"": 64, ""input_dropout"": 0.0, ""layers"": 3, ""left_weights"": true, ""linear"": false, ""lr"": 0.018731911060355738, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 30, ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 8, ""temporal_d_model"": 32, ""time_window"": 3, ""use_act"": true, ""weight_decay"": 1.98417640446958e-07}"
