reserved 24976 MiB of GPU memory on cuda:0 in the caching allocator (requested 24976; now reserved 24980 MiB)
device=cuda:0 sha=9d5d2c5a56e9 config={'dataset': 'tkgl-smallpedia', 'seed': 43, 'model': 'faithful', 'feedback_dim': 16, 'no_memory_readout': False, 'sheaf_conditioning': 'history', 'epochs': 15, 'patience': 6, 'min_epochs': 6, 'time_window': None, 'context_edges': 50000, 'train_edges_cap': None, 'val_edges_cap': None, 'test_edges_cap': None, 'track_val_edges': 50000, 'train_loss': 'softplus', 'learn_node_emb': False, 'emb_in_head': False, 'node_type_emb': False, 'predict_from_previous': True, 'reserve_gpu_mb': None, 'delta_time_scale': 'auto', 'sheaf_identity': False, 'no_delta_t': False, 'no_memory': False, 'recurrency_symmetric': True, 'recurrency_untyped': True, 'cache_warm_history': False, 'recurrency_decoder': True, 'relation_in_input': True, 'no_dst_range': False, 'd': 2, 'layers': 2, 'hidden_channels': 8, 'temporal_d_model': 64, 'closure_hops': 1, 'train_negatives_per_pos': 32, 'candidate_chunk_size': 1024, 'max_score_elements': 4000000, 'bptt_steps': 1, 'lr': 0.01, 'weight_decay': 0.0, 'grad_clip': 1.0, 'skip_final_eval': False, 'save_checkpoint': True, 'eval_only': None, 'backbone': 'tsd', 'spatial': 'node_frame', 'clock': 'global', 'fast_core_off': False, 'rng_isolation': False, 'no_query_audit': False, 'dump_query_ranks': True, 'clock_diagnostics': False, 'audit_eval_only': False, 'out': 'results/review_2026_09_22/sp/sp_nodeframe_s43'}
split_source=official_tgb_masks
destination_range=None
snapshots: train=98 (edges=775514) track_val=7 final_val=10 final_test=17 | prep_sec=3.0
negative-sample sets loaded in 1.3s
delta_time_scale=1 (Delta_k is measured in units of the median training inter-snapshot gap)
protocol: predict-from-previous-state (leak-free) for training and evaluation
parameter_count=648867 num_relations=566 num_nodes=47433
parameters_by_component={'embeddings': 9056, 'ssm_input_selector_B': 620928, 'ssm_other': 4261, 'map_decoder': 192, 'spatial_block': 2534, 'scorer': 11719, 'rec': 177, 'other': 0, 'total': 648867, 'trainable': 648867, 'unused_by_construction': 0, 'active': 648867}
[epoch 1/15] {'epoch': 1, 'train_loss': 0.1168865029575284, 'track_val_mrr': 0.6564921187436581, 'track_val_loss': 0.11245664209127426, 'train_sec': 10.4, 'track_eval_sec': 429.3, 'peak_gpu_mem_mb': 9237.4, 'peak_gpu_reserved_mb': 25036.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 4, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
[epoch 2/15] {'epoch': 2, 'train_loss': 0.0509263121705387, 'track_val_mrr': 0.6711463995492458, 'track_val_loss': 0.08358297497034073, 'train_sec': 10.3, 'track_eval_sec': 275.2, 'peak_gpu_mem_mb': 9251.9, 'peak_gpu_reserved_mb': 25036.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 0, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
[epoch 3/15] {'epoch': 3, 'train_loss': 0.047291676312224154, 'track_val_mrr': 0.6769198804485798, 'track_val_loss': 0.06246914342045784, 'train_sec': 15.1, 'track_eval_sec': 133.8, 'peak_gpu_mem_mb': 9251.9, 'peak_gpu_reserved_mb': 25036.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 0, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
[epoch 4/15] {'epoch': 4, 'train_loss': 0.04793511989728077, 'track_val_mrr': 0.6894561486494541, 'track_val_loss': 0.06057395413517952, 'train_sec': 11.1, 'track_eval_sec': 111.2, 'peak_gpu_mem_mb': 9251.9, 'peak_gpu_reserved_mb': 25036.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 0, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
[epoch 5/15] {'epoch': 5, 'train_loss': 0.04469286093545943, 'track_val_mrr': 0.6888646652925015, 'track_val_loss': 0.05636858195066452, 'train_sec': 11.3, 'track_eval_sec': 115.9, 'peak_gpu_mem_mb': 9251.9, 'peak_gpu_reserved_mb': 25038.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 0, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
[epoch 6/15] {'epoch': 6, 'train_loss': 0.043266770420307965, 'track_val_mrr': 0.6987004567694663, 'track_val_loss': 0.06723083555698395, 'train_sec': 9.0, 'track_eval_sec': 125.6, 'peak_gpu_mem_mb': 9251.9, 'peak_gpu_reserved_mb': 25038.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 0, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
[epoch 7/15] {'epoch': 7, 'train_loss': 0.04150921876359846, 'track_val_mrr': 0.6960228473460675, 'track_val_loss': 0.05793478712439537, 'train_sec': 9.5, 'track_eval_sec': 122.1, 'peak_gpu_mem_mb': 9251.9, 'peak_gpu_reserved_mb': 25038.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 0, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
[epoch 8/15] {'epoch': 8, 'train_loss': 0.040432162045203536, 'track_val_mrr': 0.7057093333137036, 'track_val_loss': 0.05331716686487198, 'train_sec': 9.7, 'track_eval_sec': 132.6, 'peak_gpu_mem_mb': 9251.9, 'peak_gpu_reserved_mb': 25038.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 0, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
[epoch 9/15] {'epoch': 9, 'train_loss': 0.04265375096427718, 'track_val_mrr': 0.7084872593772411, 'track_val_loss': 0.05952363833785057, 'train_sec': 9.3, 'track_eval_sec': 121.4, 'peak_gpu_mem_mb': 9251.9, 'peak_gpu_reserved_mb': 25038.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 0, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
[epoch 10/15] {'epoch': 10, 'train_loss': 0.040674892772641996, 'track_val_mrr': 0.7113510357248783, 'track_val_loss': 0.056927528232336044, 'train_sec': 9.1, 'track_eval_sec': 127.9, 'peak_gpu_mem_mb': 9251.9, 'peak_gpu_reserved_mb': 25038.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 0, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
[epoch 11/15] {'epoch': 11, 'train_loss': 0.03933186365349084, 'track_val_mrr': 0.7118005224502086, 'track_val_loss': 0.05592412129044533, 'train_sec': 9.9, 'track_eval_sec': 128.2, 'peak_gpu_mem_mb': 9251.9, 'peak_gpu_reserved_mb': 25038.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 0, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
[epoch 12/15] {'epoch': 12, 'train_loss': 0.039243180592803614, 'track_val_mrr': 0.7183540398907662, 'track_val_loss': 0.05172673240303993, 'train_sec': 8.5, 'track_eval_sec': 124.0, 'peak_gpu_mem_mb': 9251.9, 'peak_gpu_reserved_mb': 25038.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 0, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
[epoch 13/15] {'epoch': 13, 'train_loss': 0.03933833195760693, 'track_val_mrr': 0.7148962748265266, 'track_val_loss': 0.05332662910223007, 'train_sec': 8.8, 'track_eval_sec': 128.6, 'peak_gpu_mem_mb': 9251.9, 'peak_gpu_reserved_mb': 25038.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 0, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
[epoch 14/15] {'epoch': 14, 'train_loss': 0.038702618801179006, 'track_val_mrr': 0.7183703325974942, 'track_val_loss': 0.0500500462949276, 'train_sec': 9.3, 'track_eval_sec': 131.4, 'peak_gpu_mem_mb': 9251.9, 'peak_gpu_reserved_mb': 25038.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 0, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
[epoch 15/15] {'epoch': 15, 'train_loss': 0.03885136194258314, 'track_val_mrr': 0.7214578326189518, 'track_val_loss': 0.05061647668480873, 'train_sec': 8.8, 'track_eval_sec': 131.9, 'peak_gpu_mem_mb': 9251.9, 'peak_gpu_reserved_mb': 25038.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 0, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
checkpoint saved: results/review_2026_09_22/sp/sp_nodeframe_s43/best.pt
final val_mrr=0.6287 (424.4s so far)
FINAL val_mrr=0.6287 test_mrr=0.5924 test_hits10=0.7096 eval_sec=811.4
[query-audit] split=val queries=912066 affected=0 pos_nonfinite=0 neg_nan=0 neg_posinf=0 neg_neginf=0 mrr_raw=0.686668 mrr_guarded=0.686668 mrr_conservative=0.686668 parity=True
[query-audit] split=test queries=163172 affected=0 pos_nonfinite=0 neg_nan=0 neg_posinf=0 neg_neginf=0 mrr_raw=0.592388 mrr_guarded=0.592388 mrr_conservative=0.592388 parity=True
{
  "dataset": "tkgl-smallpedia",
  "model": "FaithfulEventTemporalSheaf",
  "seed": 43,
  "epochs": 15,
  "best_track_epoch": 15,
  "best_track_val_mrr": 0.7214578326189518,
  "parameter_count": 648867,
  "commit_hash": "9d5d2c5a56e92ba7f795043958cc0515105ff308",
  "train_edges": 775514,
  "final_val_edges": 162066,
  "final_test_edges": 163172,
  "prep_sec": 3.0,
  "negatives_load_sec": 1.3,
  "train_epochs_run": 15,
  "train_sec_total": 150.1,
  "selection_eval_sec_total": 2339.1,
  "reserved_buffer_mib": 24976,
  "backbone": "tsd",
  "spatial": "node_frame",
  "clock": "global",
  "rng_isolation": false,
  "params_embeddings": 9056,
  "params_ssm_input_selector_B": 620928,
  "params_ssm_other": 4261,
  "params_map_decoder": 192,
  "params_spatial_block": 2534,
  "params_scorer": 11719,
  "params_rec": 177,
  "params_other": 0,
  "params_total": 648867,
  "params_trainable": 648867,
  "params_unused_by_construction": 0,
  "params_active": 648867,
  "train_steps": 1455,
  "train_nonfinite_loss": 0,
  "train_nonfinite_grad": 0,
  "train_clipped": 4,
  "train_skipped_steps": 0,
  "hw_hostname": "biaslab0.ics.uci.edu",
  "hw_python": "3.9.9",
  "hw_torch": "2.8.0+cu128",
  "hw_cuda_runtime": "12.8",
  "hw_cudnn": 91002,
  "hw_torch_geometric": "2.6.1",
  "hw_py_tgb": "2.2.0",
  "hw_cpu_model": "AMD EPYC 7713 64-Core Processor",
  "hw_cpu_cores": 256,
  "hw_ram_gib": 2003.8,
  "hw_gpu_model": "NVIDIA A100-SXM4-80GB",
  "hw_gpu_vram_gib": 79.3,
  "hw_gpu_visible": "1",
  "hw_gpu_count_visible": 1,
  "hw_precision": "float32",
  "hw_sync": "torch.cuda.synchronize-free wall clock (perf_counter)",
  "hw_gpu_driver": "560.35.05",
  "hw_gpu_other_processes_at_start": 24,
  "validation_mrr": 0.6286643460081626,
  "test_mrr": 0.592387916986664,
  "final_val_loss": 0.07516352087259293,
  "final_test_loss": 0.09563344717025757,
  "final_eval_sec": 811.4,
  "final_replay_sec": 2.5,
  "final_val_sec": 421.9,
  "final_test_sec": 387.0,
  "final_eval_peak_gpu_mem_mb": 22795.5,
  "final_eval_peak_gpu_reserved_mb": 30978.0,
  "val_nonfinite_positives": 0,
  "val_nonfinite_negatives": 0,
  "val_skipped_queries": 0,
  "val_metric_examples": 162066,
  "test_nonfinite_positives": 0,
  "test_nonfinite_negatives": 0,
  "test_skipped_queries": 0,
  "test_metric_examples": 163172,
  "cpu_rss_mib": 52055.0,
  "rec_keys_typed": 187872,
  "rec_keys_untyped": 180534,
  "rec_keys_symmetric": 90269,
  "rec_keys_total": 458675,
  "rec_cache_bytes": 11008200,
  "rec_cache_device": "cuda:0",
  "tracked_nodes": 47433,
  "core_state_bytes": 15178560,
  "checkpoint_bytes": 2595472,
  "test_hits10": 0.7095825185725902,
  "query_audit_affected_total": 0,
  "query_audit_parity": true,
  "end_to_end_sec": 3310.8
}
